date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:07:28	67716/67716	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Jul%202025%2014:09:23%20GMT	https://www.csirnetphysics.in/p/hand-written-notes_28.html	F:/HTTrack/PHYSICS_NET/www.csirnetphysics.in/p/hand-written-notes_28.html	(from )
08:07:29	57/57	---MCZ	200	added ('OK')	text/plain	date:Sat,%2019%20Jul%202025%2014:09:23%20GMT	https://www.csirnetphysics.in/robots.txt		(from )
08:07:30	36443/36443	---M--	200	added ('OK')	text/css	date:Thu,%2024%20Jul%202025%2002:50:28%20GMT	https://www.blogger.com/static/v1/widgets/573632073-css_bundle_v2.css	F:/HTTrack/PHYSICS_NET/www.blogger.com/static/v1/widgets/573632073-css_bundle_v2.css	(from https://www.csirnetphysics.in/p/hand-written-notes_28.html)
08:07:31	403/403	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Jul%202025%2002:50:28%20GMT	https://resources.blogblog.com/blogblog/data/1kt/simple/gradients_light.png	F:/HTTrack/PHYSICS_NET/resources.blogblog.com/blogblog/data/1kt/simple/gradients_light.png	(from https://www.csirnetphysics.in/p/hand-written-notes_28.html)
08:07:33	40213/40213	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Jul%202025%2002:37:32%20GMT	https://www.csirnetphysics.in/p/https	F:/HTTrack/PHYSICS_NET/www.csirnetphysics.in/p/https.3.delayed	(from https://www.csirnetphysics.in/p/hand-written-notes_28.html)
08:07:34	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	https://www.google-analytics.com/analytics.js	F:/HTTrack/PHYSICS_NET/www.google-analytics.com/analytics.js	(from https://www.csirnetphysics.in/p/hand-written-notes_28.html)
08:07:36	1/1	---MC-	200	added ('OK')	text/css	date:Fri,%2025%20Jul%202025%2002:37:35%20GMT	https://www.blogger.com/dyn-css/authorization.css?targetBlogID=9180503829380732880&zx=01866156-f61a-4feb-81c6-e242019c7e4a	F:/HTTrack/PHYSICS_NET/www.blogger.com/dyn-css/authorizationb8d4.css	(from https://www.csirnetphysics.in/p/hand-written-notes_28.html)
08:07:38	55199/55199	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Jul%202025%2014:09:23%20GMT	https://www.csirnetphysics.in/p/exam-pattern.html	F:/HTTrack/PHYSICS_NET/www.csirnetphysics.in/p/exam-pattern.html	(from https://www.csirnetphysics.in/p/hand-written-notes_28.html)
08:07:39	92689/92689	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Jul%202025%2014:09:23%20GMT	https://www.csirnetphysics.in/p/syllabus.html	F:/HTTrack/PHYSICS_NET/www.csirnetphysics.in/p/syllabus.html	(from https://www.csirnetphysics.in/p/hand-written-notes_28.html)
08:07:40	45288/45288	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Jul%202025%2014:09:23%20GMT	https://www.csirnetphysics.in/p/paper-analysis.html	F:/HTTrack/PHYSICS_NET/www.csirnetphysics.in/p/paper-analysis.html	(from https://www.csirnetphysics.in/p/hand-written-notes_28.html)
08:07:41	49807/49807	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Jul%202025%2014:09:23%20GMT	https://www.csirnetphysics.in/p/csir-net-cut-off.html	F:/HTTrack/PHYSICS_NET/www.csirnetphysics.in/p/csir-net-cut-off.html	(from https://www.csirnetphysics.in/p/hand-written-notes_28.html)
08:07:42	262926/262926	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Jul%202025%2014:09:23%20GMT	https://www.csirnetphysics.in/p/previous-questions-paper.html	F:/HTTrack/PHYSICS_NET/www.csirnetphysics.in/p/previous-questions-paper.html	(from https://www.csirnetphysics.in/p/hand-written-notes_28.html)
08:07:43	45191/45191	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Jul%202025%2014:09:23%20GMT	https://www.csirnetphysics.in/p/assignment.html	F:/HTTrack/PHYSICS_NET/www.csirnetphysics.in/p/assignment.html	(from https://www.csirnetphysics.in/p/hand-written-notes_28.html)
08:07:44	77777/77777	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Jul%202025%2014:09:23%20GMT	https://www.csirnetphysics.in/p/book.html	F:/HTTrack/PHYSICS_NET/www.csirnetphysics.in/p/book.html	(from https://www.csirnetphysics.in/p/hand-written-notes_28.html)
08:07:45	153387/153387	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Jul%202025%2014:09:23%20GMT	https://www.csirnetphysics.in/p/online-test-series-link.html	F:/HTTrack/PHYSICS_NET/www.csirnetphysics.in/p/online-test-series-link.html	(from https://www.csirnetphysics.in/p/hand-written-notes_28.html)
08:07:45	47900/47900	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Jul%202025%2014:09:23%20GMT	https://www.csirnetphysics.in/p/our-achievers.html	F:/HTTrack/PHYSICS_NET/www.csirnetphysics.in/p/our-achievers.html	(from https://www.csirnetphysics.in/p/hand-written-notes_28.html)
08:07:46	69157/69157	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Jul%202025%2014:09:23%20GMT	https://www.csirnetphysics.in/p/syllabusexam-patterncut-offpaper.html	F:/HTTrack/PHYSICS_NET/www.csirnetphysics.in/p/syllabusexam-patterncut-offpaper.html	(from https://www.csirnetphysics.in/p/hand-written-notes_28.html)
08:07:47	40267/40267	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Jul%202025%2002:37:47%20GMT	https://www.csirnetphysics.in/p/Assignment-BJT	F:/HTTrack/PHYSICS_NET/www.csirnetphysics.in/p/Assignment-BJT.10.delayed	(from https://www.csirnetphysics.in/p/hand-written-notes_28.html)
08:07:48	40459/40459	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Jul%202025%2002:37:48%20GMT	https://www.csirnetphysics.in/p/Differentiation%20and%20integration%20formulas	F:/HTTrack/PHYSICS_NET/www.csirnetphysics.in/p/Differentiation%20and%20integration%20formulas.11.delayed	(from https://www.csirnetphysics.in/p/hand-written-notes_28.html)
